unique_customer_id,email,contact_no,first_order
1.0,1962964707014850@email.com,2315408962295390.0,03/05/2016 17:25:15
2.0,7506642554706270@email.com,2988385503816800.0,05/05/2016 10:33:19
2.0,7506642554706270@email.com,9326895365563150.0,05/05/2016 10:33:19
2.0,6914600275352120@email.com,9326895365563150.0,05/05/2016 10:33:19
2.0,1953991993791200@email.com,9326895365563150.0,05/05/2016 10:33:19
2.0,5656384438234260@email.com,9326895365563150.0,05/05/2016 10:33:19
2.0,6162665423336610@email.com,9326895365563150.0,05/05/2016 10:33:19
3.0,6798002106114080@email.com,7352508698908019.0,05/05/2016 11:35:29
4.0,7744769131127960@email.com,6695473250113170.0,16/05/2016 12:29:55
4.0,6914600275352120@email.com,6695473250113170.0,16/05/2016 12:29:55
4.0,1953991993791200@email.com,6695473250113170.0,16/05/2016 12:29:55
4.0,5656384438234260@email.com,6695473250113170.0,16/05/2016 12:29:55
4.0,6292596608463100@email.com,6695473250113170.0,16/05/2016 12:29:55
4.0,8243265971452140@email.com,6695473250113170.0,16/05/2016 12:29:55
5.0,7837831007412680@email.com,1196011669346560.0,16/05/2016 12:44:41
6.0,7329080195851530@email.com,7529067956830381.0,20/05/2016 12:05:38
7.0,4626276609901610@email.com,8867314703114370.0,12/09/2016 15:22:21
8.0,7660905626952430@email.com,2140248784405830.0,12/09/2016 18:26:04
8.0,7660905626952430@email.com,7352634289921870.0,12/09/2016 18:26:04
9.0,2300781720960270@email.com,4276625046059830.5,12/09/2016 18:36:18
10.0,7280267372617830@email.com,8523760335484750.0,12/09/2016 18:51:29
10.0,9372230414813520@email.com,8523760335484750.0,12/09/2016 18:51:29
10.0,3945479222194850@email.com,8523760335484750.0,12/09/2016 18:51:29
10.0,5890770180355240@email.com,8523760335484750.0,12/09/2016 18:51:29
11.0,7176042261036360@email.com,9108325934843790.0,12/09/2016 19:08:35
11.0,1424399615781160@email.com,9108325934843790.0,12/09/2016 19:08:35
12.0,9556141181257910@email.com,8253824689158499.0,12/09/2016 19:40:19
12.0,1481931841364930@email.com,8253824689158499.0,12/09/2016 19:40:19
12.0,3216343461769240@email.com,8253824689158499.0,12/09/2016 19:40:19
12.0,2897290711243260@email.com,8253824689158499.0,12/09/2016 19:40:19
12.0,9208217667240910@email.com,8253824689158499.0,12/09/2016 19:40:19
13.0,1330237473215340@email.com,9977227368008060.0,12/09/2016 19:57:37
14.0,1924918543887010@email.com,2835697120505530.0,12/09/2016 20:01:54
15.0,1204206841413000@email.com,4254966243679980.0,12/09/2016 20:38:18
16.0,6511155204997350@email.com,1374679791889080.0,12/09/2016 21:27:35
17.0,7627926921661380@email.com,5737509163568820.0,12/09/2016 21:39:00
17.0,2473357658142460@email.com,5737509163568820.0,12/09/2016 21:39:00
18.0,4922199785218330@email.com,4585197059444550.0,13/09/2016 18:11:58
18.0,4922199785218330@email.com,4585197059444550.0,13/09/2016 18:11:58
18.0,8739453025137260@email.com,4585197059444550.0,13/09/2016 18:11:58
18.0,6507373245063390@email.com,4585197059444550.0,13/09/2016 18:11:58
19.0,8224969018722630@email.com,4438476771722640.0,13/09/2016 18:19:58
20.0,7943283098557360@email.com,1489927962713600.0,13/09/2016 19:35:35
21.0,3014586854156520@email.com,9768894580611080.0,14/09/2016 17:06:59
22.0,8429969167829670@email.com,7440519242523490.0,14/09/2016 19:30:54
22.0,2808718597936570@email.com,7440519242523490.0,14/09/2016 19:30:54
23.0,8560144164615180@email.com,8131272788073810.0,14/09/2016 19:46:15
24.0,7298121096226070@email.com,6329925473046740.0,14/09/2016 21:17:41
25.0,6560420728971590@email.com,5612206425538090.0,15/09/2016 18:03:45
25.0,2838826659992040@email.com,5612206425538090.0,15/09/2016 18:03:45
25.0,2458813328347310@email.com,5612206425538090.0,15/09/2016 18:03:45
26.0,8246763544573440@email.com,8873089551909070.0,15/09/2016 19:14:06
27.0,4714003210975640@email.com,4470600512307150.5,15/09/2016 20:01:07
28.0,3388312679203730@email.com,8160800283971990.0,15/09/2016 20:44:20
29.0,2754933005856680@email.com,4860089854198610.0,15/09/2016 21:21:35
30.0,4058063749582280@email.com,7016951158975990.0,16/09/2016 21:15:30
30.0,9823389837314310@email.com,7016951158975990.0,16/09/2016 21:15:30
30.0,9563272447554740@email.com,7016951158975990.0,16/09/2016 21:15:30
31.0,9726834416405560@email.com,1235085133413890.0,16/09/2016 21:28:03
31.0,9726834416405560@email.com,1235085133413890.0,16/09/2016 21:28:03
31.0,9042957148176830@email.com,1235085133413890.0,16/09/2016 21:28:03
31.0,6899520223236120@email.com,1235085133413890.0,16/09/2016 21:28:03
31.0,9726834416405560@email.com,4779527501119330.0,16/09/2016 21:28:03
31.0,9726834416405560@email.com,1235085133413890.0,16/09/2016 21:28:03
31.0,9042957148176830@email.com,1235085133413890.0,16/09/2016 21:28:03
32.0,6971821052397740@email.com,3889288077359430.5,17/09/2016 12:54:43
32.0,8420739108605650@email.com,4329909754889209.5,17/09/2016 12:54:43
33.0,6971821052397740@email.com,3451841540301810.0,17/09/2016 14:55:42
34.0,8002386857984660@email.com,5290888029245830.0,17/09/2016 16:41:09
35.0,9132790431197890@email.com,5482927927515790.0,17/09/2016 17:04:47
36.0,7001741967625800@email.com,5418834267524930.0,17/09/2016 17:45:53
36.0,1554168277045570@email.com,5418834267524930.0,17/09/2016 17:45:53
37.0,9482181274192620@email.com,3156386505737790.0,17/09/2016 19:25:20
38.0,5591429697661170@email.com,7543887200428621.0,17/09/2016 21:33:44
39.0,8622587940276940@email.com,2108452385114330.0,17/09/2016 22:24:07
40.0,5183790326066550@email.com,4677333682321970.0,17/09/2016 22:55:26
41.0,9132416512156570@email.com,9956253248025210.0,18/09/2016 14:04:31
41.0,2280355322017760@email.com,4119368700536849.5,18/09/2016 14:04:31
41.0,2280355322017760@email.com,9956253248025210.0,18/09/2016 14:04:31
42.0,4163955030093260@email.com,1589874765254890.0,18/09/2016 15:09:44
42.0,4163955030093260@email.com,1589874765254890.0,18/09/2016 15:09:44
42.0,4317875752890460@email.com,1589874765254890.0,18/09/2016 15:09:44
43.0,6767997315304130@email.com,1452858928616680.0,18/09/2016 15:30:51
44.0,4302688018581860@email.com,1626443440406830.0,18/09/2016 17:59:04
44.0,2549481896630060@email.com,1626443440406830.0,18/09/2016 17:59:04
45.0,4160603827878770@email.com,5409117920595350.0,18/09/2016 18:59:08
46.0,4266207833013020@email.com,4866570254055890.0,18/09/2016 19:14:09
47.0,4280660664787980@email.com,9978239510772300.0,18/09/2016 21:30:59
48.0,5679578553748440@email.com,3408042229664670.0,18/09/2016 21:37:52
49.0,9137133160244620@email.com,4389378314758350.5,18/09/2016 21:45:26
50.0,2224573583304220@email.com,1008384935687960.0,19/09/2016 16:22:43
50.0,8308086644756650@email.com,1008384935687960.0,19/09/2016 16:22:43
50.0,7836940229957900@email.com,1008384935687960.0,19/09/2016 16:22:43
51.0,8080515946751410@email.com,5167524244671840.0,19/09/2016 20:06:27
51.0,8703485182919120@email.com,5167524244671840.0,19/09/2016 20:06:27
51.0,7647566554774830@email.com,5167524244671840.0,19/09/2016 20:06:27
51.0,4167503923946980@email.com,5167524244671840.0,19/09/2016 20:06:27
52.0,1367405720870690@email.com,1530606352682720.0,19/09/2016 21:16:56
52.0,7293286041527960@email.com,1530606352682720.0,19/09/2016 21:16:56
53.0,6133060289359780@email.com,1654828009016180.0,20/09/2016 12:43:27
54.0,4527711473039470@email.com,1110104664443710.0,20/09/2016 18:31:05
54.0,1651813326330190@email.com,1110104664443710.0,20/09/2016 18:31:05
54.0,9955007155494390@email.com,1110104664443710.0,20/09/2016 18:31:05
55.0,4238726254432860@email.com,9752405666793380.0,20/09/2016 19:48:42
55.0,6677959245357660@email.com,9752405666793380.0,20/09/2016 19:48:42
55.0,1705737630790340@email.com,9752405666793380.0,20/09/2016 19:48:42
56.0,9042957148176830@email.com,7865154349890579.0,20/09/2016 21:15:32
57.0,7959028158672470@email.com,8573664100512090.0,21/09/2016 18:27:19
58.0,2071478870654200@email.com,3751571858266920.0,21/09/2016 19:18:40
59.0,3647429759759680@email.com,6091909874515430.0,22/09/2016 12:02:56
59.0,7261431305375320@email.com,6091909874515430.0,22/09/2016 12:02:56
59.0,6707379891035850@email.com,6091909874515430.0,22/09/2016 12:02:56
59.0,3647429759759680@email.com,6091909874515430.0,22/09/2016 12:02:56
60.0,5050929317783960@email.com,3201653545775650.0,22/09/2016 20:14:23
61.0,4629096678067080@email.com,7140747972521030.0,22/09/2016 21:39:40
61.0,4867827232048980@email.com,7140747972521030.0,22/09/2016 21:39:40
62.0,4183517550211810@email.com,2434744722045690.0,22/09/2016 21:50:06
63.0,8137310614051880@email.com,5572332022216120.0,23/09/2016 13:07:07
63.0,9391869507850510@email.com,5572332022216120.0,23/09/2016 13:07:07
64.0,5240877472067190@email.com,1603301863376900.0,23/09/2016 17:49:01
65.0,7986389759630190@email.com,5393613792764700.0,23/09/2016 19:09:43
66.0,1109878916772480@email.com,1800728036463670.0,23/09/2016 19:27:55
67.0,4595961548474190@email.com,9006475860379970.0,23/09/2016 20:44:54
67.0,8626773291568460@email.com,9006475860379970.0,23/09/2016 20:44:54
67.0,4073285367646190@email.com,9006475860379970.0,23/09/2016 20:44:54
67.0,4138259859747250@email.com,9006475860379970.0,23/09/2016 20:44:54
68.0,7176042261036360@email.com,3858623898903030.5,23/09/2016 20:46:30
69.0,7031167645204790@email.com,6933312005559060.0,23/09/2016 21:23:19
69.0,5425781969647250@email.com,6933312005559060.0,23/09/2016 21:23:19
69.0,5425781969647250@email.com,4110469109933529.5,23/09/2016 21:23:19
